model,model_year,engine_hp,engine_cylinders,driven_wheels,number_of_doors,highway_mpg,city_mpg,popularity,msrp,maker_name,type_name,transmission_type_name,vehicle_size_name,vehicle_style_name,cost_per_unit,units_sold,profit_per_unit
Silverado 1500,2016,285.0,6.0,2,4.0,22,17,1385,36935,5,3,0,1,4,32728.53,886568,4206.47
X1,2017,228.0,4.0,3,4.0,31,22,3916,35100,20,0,0,0,11,31826.78,722036,3273.22
X3,2015,180.0,4.0,3,4.0,34,27,3916,42000,20,4,0,2,11,36393.81,480331,5606.19
Sonoma,2003,190.0,6.0,2,3.0,17,12,549,21970,14,1,1,0,4,20104.51,730999,1865.49
TrailBlazer,2009,285.0,6.0,2,4.0,20,14,1385,31330,5,1,0,2,11,28316.06,757133,3013.94
Transit Connect,2015,169.0,4.0,1,4.0,28,20,5657,26710,8,1,0,0,8,23541.7,822955,3168.3
Transit Connect,2015,169.0,4.0,1,4.0,29,21,5657,24855,8,1,0,0,10,22743.49,764582,2111.51
Transit Connect,2016,169.0,4.0,1,4.0,29,21,5657,25200,8,1,0,0,10,22298.81,894202,2901.19
F430,2008,483.0,8.0,0,2.0,16,11,2774,199054,1,0,2,0,1,142717.97,554,56336.03
F430,2009,483.0,8.0,0,2.0,16,11,2774,187925,1,0,1,0,1,135105.84,291,52819.16
FF,2013,651.0,12.0,3,,16,11,2774,295000,1,0,2,1,1,209712.38,721,85287.62
FX35,2010,303.0,6.0,3,4.0,21,16,190,44300,35,0,0,2,11,36832.91,481883,7467.09
Gallardo,2012,570.0,10.0,3,2.0,20,12,1158,237600,25,0,1,0,1,184339.19,644,53260.81
Sedona,2017,276.0,6.0,1,4.0,24,18,1720,28850,27,1,0,2,8,25644.78,830149,3205.22
Silverado 1500 Classic,2007,195.0,6.0,2,2.0,19,14,1385,24020,5,1,1,1,3,21884.75,695825,2135.25
Silverado 1500,2017,285.0,6.0,2,4.0,22,17,1385,35590,5,3,0,1,4,32036.0,852420,3554.0
Suburban,2015,355.0,8.0,2,4.0,22,15,1385,57205,5,3,0,1,11,48265.93,480099,8939.07
RSX,2006,155.0,4.0,1,2.0,31,24,204,21475,28,1,1,0,5,19018.49,857647,2456.51
Silverado 1500,2017,285.0,6.0,2,4.0,22,17,1385,42555,5,3,0,1,9,36074.12,432047,6480.88
Skylark,1997,150.0,4.0,1,2.0,29,19,155,2000,34,1,0,2,1,1856.42,835001,143.58
Town and Country,2016,283.0,6.0,1,4.0,25,17,1013,34145,6,3,0,2,8,30762.77,833061,3382.23
Z3,2001,225.0,6.0,0,2.0,26,19,3916,37700,20,0,1,0,5,34345.88,742783,3354.12
Sunbird,1992,111.0,4.0,1,2.0,32,22,210,2000,29,1,1,0,1,1790.46,748620,209.54
S-10 Blazer,1993,165.0,6.0,0,2.0,22,16,1385,2000,5,1,1,0,13,1811.33,816156,188.67
S-10 Blazer,1993,165.0,6.0,0,4.0,22,16,1385,2000,5,1,1,2,11,1842.45,774809,157.55
Silverado 1500,2017,285.0,6.0,0,2.0,24,18,1385,30000,5,3,0,1,3,27035.06,845313,2964.94
Silverado 1500,2017,355.0,8.0,2,4.0,20,15,1385,49040,5,1,0,1,9,42750.53,442818,6289.47
Sierra 1500,2015,285.0,6.0,0,2.0,24,18,549,26670,14,3,0,1,3,24255.63,761921,2414.37
Tundra,2017,381.0,8.0,0,4.0,18,13,2031,46980,13,1,0,1,9,40502.68,486795,6477.32
Transit Connect,2016,169.0,4.0,1,4.0,28,20,5657,25300,8,1,0,0,8,22568.08,852974,2731.92
Tundra,2015,381.0,8.0,2,4.0,17,13,2031,40685,13,1,0,1,4,34627.44,517306,6057.56
Traverse,2015,281.0,6.0,3,4.0,23,16,1385,38295,5,1,0,2,11,34577.74,722380,3717.26
Traverse,2015,281.0,6.0,1,4.0,24,17,1385,33795,5,1,0,2,11,30468.79,738619,3326.21
Sierra 1500,2016,355.0,8.0,2,4.0,22,16,549,47270,14,1,0,1,9,39627.65,488363,7642.35
Spectra,2009,138.0,4.0,1,4.0,32,24,1720,17695,27,1,0,0,12,15948.73,704234,1746.27
Town Car,2011,239.0,8.0,0,4.0,24,16,61,47225,30,3,0,1,2,39389.9,451260,7835.1
Town Car,2011,239.0,8.0,0,4.0,24,16,61,47000,30,3,0,1,2,39886.94,433289,7113.06
Terrain,2015,182.0,4.0,1,4.0,32,22,549,24070,14,1,0,0,11,21633.28,817470,2436.72
Terrain,2016,182.0,4.0,1,4.0,32,22,549,23975,14,1,0,0,11,21526.02,803130,2448.98
Tundra,2015,310.0,8.0,0,4.0,19,15,2031,28510,13,1,0,1,4,25429.55,807561,3080.45
Tundra,2015,381.0,8.0,0,4.0,18,13,2031,33980,13,1,0,1,9,30888.18,829626,3091.82
Ridgeline,2017,280.0,6.0,1,4.0,26,19,2202,33015,3,1,0,1,9,29848.17,821299,3166.83
Sierra 1500,2017,285.0,6.0,0,4.0,24,18,549,37560,14,3,0,1,4,33532.31,807383,4027.69
Sierra 1500,2017,285.0,6.0,0,2.0,24,18,549,34955,14,3,0,1,3,31287.15,745490,3667.85
STS,2009,320.0,8.0,0,4.0,24,15,1624,56345,10,0,0,1,2,48887.65,477958,7457.35
STS,2011,302.0,6.0,0,4.0,27,18,1624,47280,10,1,0,1,2,41267.05,502896,6012.95
Sentra,2016,130.0,4.0,1,4.0,38,29,2009,20410,0,1,0,2,2,18935.3,849416,1474.7
Sequoia,2015,381.0,8.0,2,4.0,17,13,2031,47620,13,1,0,1,11,40689.53,450890,6930.47
Sequoia,2016,381.0,8.0,2,4.0,17,13,2031,65080,13,1,0,1,11,54335.62,60780,10744.38
xB,2013,158.0,4.0,1,4.0,28,22,105,20160,31,1,0,0,12,18305.82,834795,1854.18
XC60,2015,325.0,6.0,3,4.0,24,17,870,47200,38,1,0,2,11,40223.22,508469,6976.78
xD,2012,128.0,4.0,1,4.0,33,27,105,17050,31,1,0,0,7,15044.33,879774,2005.67
Optima Hybrid,2015,199.0,4.0,1,4.0,39,35,1720,32150,27,1,0,2,2,29679.62,704811,2470.38
xD,2013,128.0,4.0,1,4.0,33,27,105,16545,31,1,0,0,7,14922.45,880818,1622.55
xD,2014,128.0,4.0,1,4.0,33,27,105,16720,31,1,0,0,7,15432.52,813444,1287.48
XTS,2015,304.0,6.0,3,4.0,26,17,1624,51000,10,1,0,1,2,42465.77,450798,8534.23
XTS,2015,304.0,6.0,1,4.0,28,18,1624,62015,10,1,0,1,2,49687.68,54624,12327.32
Silverado 1500 Hybrid,2012,332.0,8.0,0,4.0,23,20,1385,46420,5,1,0,1,9,40824.98,499124,5595.02
Silverado 1500,2015,285.0,6.0,0,2.0,24,18,1385,26105,5,3,0,1,3,23952.64,797524,2152.36
Silverado 1500,2016,285.0,6.0,2,4.0,22,17,1385,43775,5,3,0,1,9,36563.85,473636,7211.15
Sierra 1500,2015,285.0,6.0,0,4.0,24,18,549,35690,14,3,0,1,9,33036.51,707766,2653.49
Sierra 1500,2016,355.0,8.0,2,4.0,22,16,549,44910,14,1,0,1,4,37800.07,518877,7109.93
Sierra 1500 Classic,2007,295.0,8.0,2,4.0,17,13,549,33755,14,3,0,1,9,30234.37,823245,3520.63
Yukon XL,2016,420.0,8.0,2,4.0,20,14,549,71025,14,2,0,1,11,59860.48,29308,11164.52
Yukon XL,2017,355.0,8.0,2,4.0,22,15,549,63015,14,3,0,1,11,52649.43,48218,10365.57
Taurus,2015,288.0,6.0,3,4.0,26,18,5657,36255,8,3,0,1,2,33255.13,739960,2999.87
S80,2015,240.0,4.0,1,4.0,38,26,870,40500,38,1,0,2,2,35617.01,439313,4882.99
Sierra 1500 Hybrid,2012,332.0,8.0,0,4.0,23,20,549,40010,14,1,0,1,9,34389.26,489267,5620.74
Sierra 1500 Hybrid,2013,332.0,8.0,0,4.0,23,20,549,48335,14,1,0,1,9,40974.09,425024,7360.91
TL,2014,305.0,6.0,3,4.0,25,17,204,43310,28,2,1,2,2,37076.25,489862,6233.75
TL,2014,280.0,6.0,1,4.0,29,20,204,39760,28,2,0,2,2,35100.05,794857,4659.95
Sportage,2016,182.0,4.0,3,4.0,26,19,1720,23650,27,1,0,0,11,20903.73,772864,2746.27
Sportage,2016,260.0,4.0,3,4.0,25,19,1720,31490,27,1,0,0,11,28568.59,706867,2921.41
Silverado 1500,2017,285.0,6.0,0,4.0,24,18,1385,33445,5,3,0,1,4,30935.03,727224,2509.97
Silverado 1500,2017,285.0,6.0,2,4.0,22,17,1385,40985,5,3,0,1,9,35239.7,507696,5745.3
Sixty Special,1993,200.0,8.0,1,4.0,23,15,1624,2000,10,1,0,1,2,1792.6,711578,207.4
XC60,2015,300.0,6.0,3,4.0,24,17,870,42650,38,1,0,2,11,35944.87,494628,6705.13
XC60,2015,300.0,6.0,3,4.0,24,17,870,43850,38,1,0,2,11,37109.55,452083,6740.45
TrailBlazer,2008,390.0,8.0,0,4.0,16,12,1385,35590,5,0,0,2,11,32444.79,694513,3145.21
TrailBlazer,2009,285.0,6.0,0,4.0,20,14,1385,33595,5,1,0,2,11,30480.49,794022,3114.51
Transit Connect,2017,169.0,4.0,1,4.0,27,19,5657,28215,8,3,0,0,8,25066.16,693289,3148.84
Sundance,1992,93.0,4.0,1,4.0,29,23,535,2000,33,1,1,0,7,1839.56,742100,160.44
Sundance,1994,100.0,4.0,1,4.0,27,21,535,2000,33,1,1,0,7,1795.8,745906,204.2
Venza,2015,181.0,4.0,3,4.0,26,20,2031,30515,13,1,0,2,12,27766.0,890565,2749.0
Verano,2015,180.0,4.0,1,4.0,32,21,155,27050,34,1,0,2,2,24351.05,800002,2698.95
X4,2016,240.0,4.0,3,4.0,28,20,3916,45250,20,0,0,2,11,38790.91,439553,6459.09
X5,2015,300.0,6.0,0,4.0,27,19,3916,53900,20,0,0,2,11,46965.95,452031,6934.05
Odyssey,2015,248.0,6.0,1,4.0,28,19,2202,44600,3,1,0,1,8,37369.52,461349,7230.48
Odyssey,2016,248.0,6.0,1,4.0,28,19,2202,33500,3,1,0,1,8,29886.79,697824,3613.21
SLR McLaren,2007,641.0,8.0,0,2.0,16,11,617,480000,18,0,0,0,1,347386.14,700,132613.86
SLR McLaren,2009,617.0,8.0,0,2.0,16,12,617,495000,18,0,0,0,0,348041.48,327,146958.52
Spectra,2009,138.0,4.0,1,4.0,30,23,1720,16695,27,1,1,0,12,15310.89,708560,1384.11
Sportage,2016,182.0,4.0,1,4.0,28,21,1720,25350,27,1,0,0,11,22343.05,804982,3006.95
Tundra,2016,381.0,8.0,2,4.0,17,13,2031,43585,13,3,0,1,9,38226.13,429545,5358.87
Tundra,2016,381.0,8.0,2,2.0,17,13,2031,33000,13,1,0,1,3,29290.97,880175,3709.03
Titan,2014,317.0,8.0,0,4.0,18,13,2009,40580,0,1,0,1,9,35292.69,478433,5287.31
Titan,2015,317.0,8.0,0,4.0,18,13,2009,34140,0,1,0,1,9,30602.36,693805,3537.64
XC60,2016,302.0,4.0,3,4.0,28,20,870,47750,38,1,0,2,11,41745.86,496898,6004.14
XC70,2015,240.0,4.0,1,4.0,31,24,870,36050,38,1,0,2,12,32371.18,740438,3678.82
XL-7,2004,185.0,6.0,0,4.0,21,16,481,23799,23,1,0,2,11,21555.2,816525,2243.8
XL-7,2005,185.0,6.0,2,4.0,20,15,481,25799,23,1,0,2,11,23575.52,832692,2223.48
XL7,2007,252.0,6.0,1,4.0,22,16,481,27949,23,1,0,2,11,25533.54,733432,2415.46
Rondo,2008,182.0,6.0,1,4.0,26,18,1720,18895,27,1,0,0,12,16701.54,749519,2193.46
SC 400,2000,290.0,8.0,0,2.0,23,16,454,4404,36,1,0,2,1,4051.64,724378,352.36
Silhouette,2004,185.0,6.0,1,4.0,24,17,26,32125,26,1,0,2,8,29798.0,792201,2327.0
Silverado 1500 Classic,2007,195.0,6.0,2,2.0,19,14,1385,19865,5,1,1,1,3,17744.36,898355,2120.64
Soul,2016,130.0,4.0,1,4.0,30,24,1720,15900,27,1,1,0,12,14733.54,749655,1166.46
Yukon,2016,420.0,8.0,2,4.0,21,15,549,68325,14,2,0,1,11,57303.65,66643,11021.35
S8,2016,520.0,8.0,3,4.0,25,16,3105,114900,9,0,0,1,2,89587.46,704,25312.54
Sierra 1500 Hybrid,2012,332.0,8.0,2,4.0,23,20,549,43210,14,1,0,1,9,36643.01,512458,6566.99
RAV4,2016,176.0,4.0,3,4.0,29,22,2031,27670,13,1,0,2,11,24575.69,741526,3094.31
RAV4,2017,176.0,4.0,1,4.0,30,23,2031,26830,13,1,0,2,11,23902.23,847289,2927.77
Santa Fe Sport,2015,264.0,4.0,3,4.0,24,18,1439,33000,19,1,0,2,11,30620.2,876587,2379.8
Santa Fe Sport,2016,265.0,4.0,3,4.0,24,18,1439,33000,19,1,0,2,11,30605.11,898220,2394.89
Sonoma,2003,120.0,4.0,0,3.0,25,19,549,18270,14,3,1,0,4,16885.77,698275,1384.23
Sorento,2016,290.0,6.0,1,4.0,26,18,1720,32100,27,1,0,2,11,28647.18,835217,3452.82
Sorento,2017,290.0,6.0,3,4.0,23,17,1720,45700,27,1,0,2,11,40079.12,421870,5620.88
Silverado 1500,2015,355.0,8.0,2,4.0,22,16,1385,51150,5,1,0,1,9,44112.67,519285,7037.33
Silverado 1500,2015,285.0,6.0,0,4.0,24,18,1385,38635,5,3,0,1,9,34073.37,778692,4561.63
Sonata,2017,185.0,4.0,1,4.0,36,25,1439,27150,19,1,0,2,2,24653.32,745152,2496.68
Sonata,2017,245.0,4.0,1,4.0,31,22,1439,34350,19,1,0,2,2,30524.76,790915,3825.24
Tacoma,2016,278.0,6.0,2,4.0,23,18,2031,33310,13,1,0,0,4,29537.8,915298,3772.2
Supra,1996,320.0,6.0,0,2.0,22,16,2031,18255,13,1,0,0,1,16939.44,790674,1315.56
SVX,1995,230.0,6.0,1,2.0,23,15,640,2000,17,1,0,0,1,1797.64,848115,202.36
Impreza,2017,152.0,4.0,3,4.0,36,27,640,22795,17,1,0,2,2,21058.89,730349,1736.11
Impreza,2017,152.0,4.0,3,4.0,35,27,640,23295,17,1,0,0,7,20803.08,741045,2491.92
XL7,2008,252.0,6.0,3,4.0,22,15,481,26749,23,1,0,2,11,24352.28,862671,2396.72
XL7,2009,252.0,6.0,1,4.0,24,17,481,28580,23,1,0,2,11,25556.14,703512,3023.86
Xterra,2013,261.0,6.0,2,4.0,20,16,2009,29440,0,1,1,2,11,26966.3,803188,2473.7
Xterra,2014,261.0,6.0,2,4.0,20,15,2009,31370,0,1,0,2,11,27919.65,864422,3450.35
Jetta SportWagen,2013,140.0,4.0,1,4.0,42,30,873,25795,4,4,1,0,12,23577.49,802052,2217.51
Jetta SportWagen,2014,140.0,4.0,1,4.0,42,30,873,28365,4,4,1,0,12,25400.7,892809,2964.3
Versa,2017,109.0,4.0,1,4.0,39,31,2009,14130,0,1,0,0,2,12903.05,746480,1226.95
Veyron 16.4,2008,1001.0,16.0,3,2.0,14,8,820,1500000,47,0,2,0,1,1078443.91,289,421556.09
Tundra,2017,381.0,8.0,0,2.0,18,13,2031,30400,13,1,0,1,3,28063.7,761939,2336.3
Tundra,2017,381.0,8.0,2,4.0,17,13,2031,36480,13,3,0,1,4,32754.05,896189,3725.95
Venture,2003,185.0,6.0,1,4.0,24,17,1385,21365,5,1,0,0,8,19390.12,903660,1974.88
Venture,2003,185.0,6.0,1,4.0,24,17,1385,29240,5,1,0,2,8,26832.2,704028,2407.8
Venza,2013,268.0,6.0,1,4.0,26,19,2031,29670,13,1,0,2,12,26165.61,767541,3504.39
Soul,2014,130.0,4.0,1,4.0,30,24,1720,14900,27,1,1,0,12,13408.5,879093,1491.5
XG350,2003,194.0,6.0,1,4.0,24,15,1439,23999,19,1,0,2,2,21643.38,751210,2355.62
Silverado 1500,2015,285.0,6.0,2,2.0,22,17,1385,36825,5,3,0,1,3,33492.03,794285,3332.97
Solstice,2009,173.0,4.0,0,2.0,25,19,210,29410,29,2,1,0,0,26880.87,894494,2529.13
Tacoma,2017,278.0,6.0,0,4.0,24,19,2031,25730,13,1,0,0,4,22991.32,829531,2738.68
TrailBlazer EXT,2006,291.0,6.0,2,4.0,19,14,1385,28130,5,1,0,1,11,25140.67,724664,2989.33
Tundra,2016,381.0,8.0,0,4.0,18,13,2031,40535,13,3,0,1,9,34841.16,498251,5693.84
Tundra,2016,381.0,8.0,2,4.0,17,13,2031,35700,13,3,0,1,4,32392.2,846140,3307.8
Versa,2015,109.0,4.0,1,4.0,40,31,2009,13990,0,1,0,0,2,12592.74,742634,1397.26
Versa,2015,109.0,4.0,1,4.0,40,31,2009,15530,0,1,0,0,2,14381.12,744925,1148.88
Windstar,2001,200.0,6.0,1,4.0,22,16,5657,25000,8,1,0,2,8,22952.88,737968,2047.12
Wraith,2015,624.0,12.0,0,2.0,21,13,86,294025,43,0,0,1,1,204502.06,673,89522.94
TLX,2015,206.0,4.0,1,4.0,35,24,204,31445,28,2,2,2,2,28016.03,881101,3428.97
Toronado,1991,170.0,6.0,1,2.0,24,16,26,2000,26,1,0,1,1,1788.3,883018,211.7
Truck,1996,134.0,4.0,0,2.0,24,19,2009,2000,0,1,1,0,3,1767.49,713516,232.51
Truck,1996,134.0,4.0,0,2.0,24,19,2009,2326,0,1,1,0,4,2067.51,889620,258.49
TT,2015,211.0,4.0,3,2.0,31,22,3105,43350,9,2,2,0,0,37234.03,452758,6115.97
TTS,2016,292.0,4.0,3,2.0,27,23,3105,51900,9,0,2,0,1,45437.91,429986,6462.09
Vanagon,1991,90.0,4.0,0,3.0,18,16,873,2000,4,1,1,1,8,1824.29,726670,175.71
Trax,2017,138.0,4.0,3,4.0,30,24,1385,22500,5,1,0,0,11,20693.54,782986,1806.46
Sierra 1500,2015,285.0,6.0,0,2.0,24,18,549,33595,14,3,0,1,3,30655.47,783661,2939.53
Sierra 1500,2016,355.0,8.0,2,4.0,22,16,549,47570,14,1,0,1,9,41124.93,517927,6445.07
Spyder,2003,390.0,8.0,0,2.0,16,10,238,89622,42,0,2,0,0,72025.93,12601,17596.07
Tacoma,2017,159.0,4.0,2,4.0,22,19,2031,27195,13,1,0,0,4,24984.74,817009,2210.26
Tundra,2015,310.0,8.0,2,4.0,18,14,2031,35530,13,1,0,1,9,31572.82,810790,3957.18
Tundra,2015,381.0,8.0,2,2.0,17,13,2031,32170,13,3,0,1,3,28922.43,786033,3247.57
V8 Vantage,2016,430.0,8.0,0,2.0,21,14,259,126995,37,0,2,0,1,89116.16,602,37878.84
Vanagon,1990,90.0,4.0,2,3.0,15,14,873,2000,4,1,1,1,8,1798.52,696348,201.48
Sierra 1500,2017,285.0,6.0,0,2.0,24,18,549,28205,14,3,0,1,3,26213.84,897378,1991.16
Sierra 1500,2017,285.0,6.0,2,4.0,22,17,549,43995,14,3,0,1,9,37444.46,454984,6550.54
Transit Connect,2017,169.0,4.0,1,4.0,27,20,5657,22900,8,3,0,0,10,21285.96,736856,1614.04
Shelby GT500,2014,662.0,8.0,0,2.0,24,15,5657,60110,8,0,1,2,0,49361.6,35247,10748.4
Silverado 1500,2015,285.0,6.0,0,2.0,24,18,1385,28545,5,3,0,1,3,25807.51,762835,2737.49
TrailBlazer,2007,291.0,6.0,0,4.0,20,14,1385,27970,5,1,0,2,11,25348.92,863247,2621.08
Silverado 1500 Classic,2007,295.0,8.0,2,4.0,17,13,1385,31465,5,3,0,1,9,28337.75,886589,3127.25
Silverado 1500 Classic,2007,295.0,8.0,2,4.0,18,13,1385,29380,5,1,0,1,4,26715.48,889560,2664.52
Stealth,1995,320.0,6.0,3,2.0,22,16,1851,3219,7,1,1,0,1,2942.07,907591,276.93
Stratus,2005,200.0,6.0,1,4.0,25,19,1851,23335,7,1,0,2,2,20768.79,696479,2566.21
Veracruz,2010,260.0,6.0,3,4.0,22,16,1439,30045,19,1,0,2,11,27222.35,839861,2822.65
Veracruz,2011,260.0,6.0,1,4.0,22,17,1439,34395,19,1,0,2,11,30494.45,697230,3900.55
Viper,2016,645.0,10.0,0,2.0,21,12,1851,95895,7,0,1,0,1,76700.6,22081,19194.4
Viper,2017,645.0,10.0,0,2.0,19,12,1851,95895,7,0,1,0,1,76297.84,13740,19597.16
Tracker,2003,127.0,4.0,0,2.0,24,20,1385,16630,5,1,1,0,15,14820.39,909217,1809.61
Tracker,2003,127.0,4.0,0,4.0,24,20,1385,17330,5,1,1,0,11,15471.63,853802,1858.37
V8 Vantage,2016,430.0,8.0,0,2.0,21,14,259,141495,37,0,2,0,0,112707.76,509,28787.24
V8 Vantage,2016,430.0,8.0,0,2.0,21,14,259,123500,37,0,2,0,0,94915.03,400,28584.97
Sundance,1994,93.0,4.0,1,2.0,30,23,535,2000,33,1,1,0,5,1835.45,704755,164.55
Tiburon,2007,138.0,4.0,1,2.0,28,20,1439,16695,19,1,1,0,5,15145.01,845890,1549.99
Sierra 1500 Classic,2007,285.0,8.0,2,4.0,18,14,549,30340,14,1,0,1,9,26986.82,872724,3353.18
Sierra 1500,2015,285.0,6.0,0,4.0,24,18,549,36200,14,3,0,1,4,32564.34,903062,3635.66
Sonoma,2003,120.0,4.0,0,2.0,25,19,549,16270,14,3,1,0,3,14718.5,915591,1551.5
Taurus X,2008,260.0,6.0,3,4.0,22,15,5657,28880,8,1,0,1,12,26855.53,879022,2024.47
Ranger,2010,207.0,6.0,2,4.0,19,15,5657,25800,8,1,1,0,4,23911.79,796519,1888.21
RS 4,2008,420.0,8.0,3,2.0,19,12,3105,81900,9,0,1,0,0,66915.28,24600,14984.72
911,2016,475.0,6.0,0,2.0,20,15,1715,130400,12,0,2,0,1,96780.12,259,33619.88
ATS,2017,335.0,6.0,0,4.0,30,20,1624,46995,10,1,0,2,2,39903.06,474214,7091.94
Transit Wagon,2015,310.0,6.0,0,3.0,19,14,5657,42295,8,2,0,1,6,35464.47,518327,6830.53
Transit Wagon,2016,275.0,6.0,0,3.0,19,14,5657,33325,8,3,0,2,6,29487.87,800587,3837.13
Transit Connect,2015,169.0,4.0,1,4.0,28,20,5657,24710,8,1,0,0,8,22367.09,857762,2342.91
Soul,2015,164.0,4.0,1,4.0,31,23,1720,18690,27,1,0,0,12,16498.62,699871,2191.38
Sebring,2010,173.0,4.0,1,4.0,30,21,1013,20120,6,1,0,2,2,17871.39,744464,2248.61
Spectra,2007,138.0,4.0,1,4.0,30,23,1720,15995,27,1,1,0,2,14577.16,703853,1417.84
Spectra,2008,138.0,4.0,1,4.0,32,24,1720,15895,27,1,0,0,2,14622.51,830715,1272.49
Tribute,2009,171.0,4.0,3,4.0,25,19,586,26375,2,1,0,0,11,23700.79,892152,2674.21
Tribute,2010,171.0,4.0,1,4.0,28,21,586,25550,2,1,0,0,11,23419.02,897094,2130.98
S5,2016,333.0,6.0,3,2.0,26,17,3105,53100,9,0,1,2,1,46642.43,516689,6457.57
Sierra 1500,2016,285.0,6.0,2,4.0,22,17,549,40915,14,3,0,1,4,34627.59,461940,6287.41
Yaris,2017,106.0,4.0,1,4.0,35,30,2031,18000,13,1,0,0,7,16430.86,847653,1569.14
Yaris,2017,106.0,4.0,1,4.0,36,30,2031,17200,13,1,1,0,7,15809.48,838264,1390.52
Trans Sport,1997,180.0,6.0,1,3.0,23,16,210,2000,29,1,0,0,8,1790.78,836277,209.22
Tundra,2016,381.0,8.0,2,4.0,17,13,2031,49580,13,1,0,1,9,41312.45,429178,8267.55
X5,2016,445.0,8.0,3,4.0,21,15,3916,71500,20,0,0,2,11,59968.51,47966,11531.49
X5,2017,300.0,6.0,0,4.0,25,18,3916,55500,20,0,0,2,11,48649.62,458152,6850.38
Spectra,2009,138.0,4.0,1,4.0,32,24,1720,14550,27,1,0,0,2,13105.12,765501,1444.88
Sportage,2015,182.0,4.0,1,4.0,28,21,1720,21900,27,1,0,0,11,19923.15,790824,1976.85
xB,2013,158.0,4.0,1,4.0,28,22,105,16970,31,1,1,0,12,15619.53,746060,1350.47
xD,2012,128.0,4.0,1,4.0,33,27,105,15345,31,1,1,0,7,13920.02,701783,1424.98
Tundra,2015,381.0,8.0,2,4.0,17,13,2031,33390,13,1,0,1,4,29871.94,778267,3518.06
Tundra,2015,310.0,8.0,0,4.0,19,15,2031,30160,13,1,0,1,4,26929.64,789727,3230.36
Sonic,2017,138.0,4.0,1,4.0,34,24,1385,16395,5,1,0,0,2,14799.21,735127,1595.79
Sonoma,2002,190.0,6.0,0,2.0,20,15,549,16538,14,1,0,0,3,14961.44,907530,1576.56
Sundance,1993,93.0,4.0,1,4.0,29,23,535,2000,33,1,1,0,7,1825.51,746272,174.49
Thunderbird,2004,280.0,8.0,0,2.0,21,15,5657,37435,8,0,0,2,0,33523.61,855964,3911.39
Veloster,2015,201.0,4.0,1,3.0,33,24,1439,21600,19,1,1,0,5,19578.33,794297,2021.67
Verano,2015,180.0,4.0,1,4.0,32,21,155,21065,34,1,0,2,2,19545.82,877372,1519.18
SX4,2013,150.0,4.0,1,4.0,33,23,481,15845,23,1,1,0,2,14696.78,804034,1148.22
T100,1996,150.0,4.0,0,2.0,22,18,2031,2141,13,1,1,1,3,1956.02,899144,184.98
Rio,2015,138.0,4.0,1,4.0,37,27,1720,17190,27,1,0,0,7,15304.23,827300,1885.77
Rio,2016,138.0,4.0,1,4.0,37,27,1720,20755,27,1,0,0,2,19048.68,754950,1706.32
Sierra 1500,2017,355.0,8.0,2,4.0,20,15,549,55605,14,1,0,1,9,48444.55,487746,7160.45
Caravan,2005,150.0,4.0,1,4.0,24,17,1851,18380,7,1,0,1,8,16267.29,728606,2112.71
CT6,2017,335.0,6.0,3,4.0,27,18,1624,60395,10,1,0,1,2,48089.76,56268,12305.24
CT6,2017,335.0,6.0,3,4.0,27,18,1624,83495,10,1,0,1,2,69001.0,14985,14494.0
Jimmy,1999,190.0,6.0,0,2.0,21,15,549,2038,14,1,1,0,13,1848.46,736317,189.54
Juke,2017,188.0,4.0,3,4.0,30,26,2009,24400,0,2,0,0,7,21615.36,789928,2784.64
JX,2013,265.0,6.0,3,4.0,23,18,190,42650,35,2,0,1,11,36992.22,498006,5657.78
Leaf,2015,,0.0,1,4.0,101,126,2009,29010,0,6,3,0,7,25838.85,896139,3171.15
Legacy,2016,175.0,4.0,3,4.0,36,26,640,21745,17,1,0,2,2,19915.81,826413,1829.19
M-Class,2013,402.0,8.0,3,4.0,20,14,617,58800,18,0,0,2,11,49154.41,483737,9645.59
M-Class,2013,302.0,6.0,3,4.0,23,18,617,49770,18,0,0,2,11,43646.69,507106,6123.31
GLE-Class Coupe,2016,577.0,8.0,3,4.0,18,14,617,109300,18,0,0,2,11,80283.83,665,29016.17
GLE-Class,2016,201.0,4.0,3,4.0,29,22,617,52500,18,4,0,2,11,44637.66,459544,7862.34
CTS,2017,335.0,6.0,0,4.0,30,20,1624,59195,10,1,0,1,2,50637.75,516446,8557.25
CTS,2017,335.0,6.0,0,4.0,30,20,1624,53695,10,1,0,1,2,45969.99,476572,7725.01
E-Class,2015,329.0,6.0,0,2.0,29,20,617,53350,18,0,0,2,1,46658.96,501311,6691.04
E-Class,2015,402.0,8.0,0,2.0,26,17,617,67750,18,0,0,2,0,55056.9,26867,12693.1
Encore,2017,138.0,4.0,3,4.0,30,24,155,25865,34,1,0,0,11,24005.92,815059,1859.08
Endeavor,2008,225.0,6.0,3,4.0,19,15,436,29099,11,0,0,2,11,25772.16,733881,3326.84
F-250,1998,220.0,8.0,2,2.0,16,13,5657,3733,8,1,1,1,3,3375.91,751220,357.09
F-250,1998,220.0,8.0,2,2.0,16,13,5657,3223,8,1,1,1,3,2932.3,854866,290.7
Focus,2015,160.0,4.0,1,4.0,40,27,5657,23170,8,3,2,0,2,20726.93,913942,2443.07
FX,2012,303.0,6.0,3,4.0,21,16,190,52000,35,0,0,2,11,45230.38,478228,6769.62
